经度,纬度,硬件经度,硬件纬度,天气概况,温度,pm25值,云量,相对湿度,降水强度,风力,风向,时间
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.41,158.14,2017-12-22 09:52
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:52
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.41,158.14,2017-12-22 09:52
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.41,158.14,2017-12-22 09:52
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:52
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.41,158.14,2017-12-22 09:52
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.41,158.14,2017-12-22 09:52
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:52
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:52
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:52
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:52
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:53
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:53
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:54
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:54
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:55
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:55
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.61,0.59,0.0,8.23,157.72,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:56
121.50407,31.23674,121.49982792,31.23882266,多云,3.0,63.0,0.61,0.59,0.0,8.04,157.28,2017-12-22 09:56
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:56
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:56
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51213,31.20015,121.50773714,31.20221369,多云,6.0,63.0,0.63,0.59,0.0,8.38,157.71,2017-12-22 09:57
121.50407,31.23674,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
121.51585,31.22019,121.51159732,31.22229685,多云,6.0,63.0,0.61,0.59,0.0,8.59,158.5,2017-12-22 09:57
